,Title,User_id,review/score
2214,The Scarlet Letter A Romance,A2VMJXD87JUACZ,1.0
2215,The Scarlet Letter A Romance,A18E0V2F73X593,3.0
2217,The Scarlet Letter A Romance,AK0K3UWJHGRVO,3.0
2221,The Scarlet Letter A Romance,A3FVAWZNKW9GX,5.0
2238,The Scarlet Letter A Romance,A2IKY4WH4E11AI,5.0
2240,The Scarlet Letter A Romance,A1CHM200OEN65X,5.0
2241,The Scarlet Letter A Romance,AFVQZQ8PW0L,5.0
2242,The Scarlet Letter A Romance,A328S9RN3U5M68,5.0
2243,The Scarlet Letter A Romance,A3H258X7JP0JW6,5.0
2258,The Scarlet Letter A Romance,A8F2AZWB20X1H,5.0
2260,The Scarlet Letter A Romance,A26BVUB2YJMGB7,5.0
2267,The Scarlet Letter A Romance,A2F079BGQTQ3BM,4.0
2272,The Scarlet Letter A Romance,A1VPXCFO261VWH,5.0
2292,The Scarlet Letter A Romance,A1R90KXMPXCAP,4.0
2295,The Scarlet Letter A Romance,A3FHAMLNGHCFU7,4.0
2329,The Scarlet Letter A Romance,A1IKD6BDEE18CI,3.0
2347,The Scarlet Letter A Romance,A3O2RCKAMSE9X7,5.0
2349,The Scarlet Letter A Romance,A2X36H1LTGU4GC,5.0
2351,The Scarlet Letter A Romance,AHD101501WCN1,5.0
2355,The Scarlet Letter A Romance,A2IVCG4IILTY6O,5.0
2384,The Scarlet Letter A Romance,A232HUAELH5J6V,5.0
2389,The Scarlet Letter A Romance,A3EOHYIHQM3KK,4.0
2394,The Scarlet Letter A Romance,AN8ELR6AHMMQ,5.0
2395,The Scarlet Letter A Romance,A12A08OL0TZY0W,5.0
2415,The Scarlet Letter A Romance,A34989LDU92LBH,5.0
2417,The Scarlet Letter A Romance,A15IK0978DBL14,5.0
2422,The Scarlet Letter A Romance,AOYTGNBDDE5PE,5.0
2436,The Scarlet Letter A Romance,A2HFQ405AKX4IW,3.0
2450,The Scarlet Letter A Romance,AQOP20IPUS7FE,4.0
2467,The Scarlet Letter A Romance,AK0CENM3LUM28,4.0
3607,Island,A3AK614GW0TEIQ,4.0
3620,Island,A2O9HU1K7TCF7B,3.0
3665,Island,A3KVT8TRSI44NU,5.0
3669,Island,AMVC9WTXYKNJ1,2.0
3681,Island,A1IL6W1NK05UW9,5.0
3687,Island,A1I6ZXLKEUKV7W,3.0
4035,Stuck with You (Time of Your Life),AFVQZQ8PW0L,5.0
4078,Stuck with You (Time of Your Life),A1IO3LVYV5ZMK8,4.0
4100,Stuck with You (Time of Your Life),AV9A3PYDX71JB,3.0
5557,"Prodigal Son (Dean Koontz's Frankenstein, Book 1)",A3N6JG64P2G9EV,4.0
5561,"Prodigal Son (Dean Koontz's Frankenstein, Book 1)",A2JP0URFHXP6DO,4.0
5596,"Prodigal Son (Dean Koontz's Frankenstein, Book 1)",A3NBL1TI2M3CW1,4.0
5619,"Prodigal Son (Dean Koontz's Frankenstein, Book 1)",AHQYCRL2FMG3D,4.0
5624,"Prodigal Son (Dean Koontz's Frankenstein, Book 1)",A3OH101U0CPUC7,4.0
5628,"Prodigal Son (Dean Koontz's Frankenstein, Book 1)",AEQFYOI6YJ83Z,5.0
5667,"Prodigal Son (Dean Koontz's Frankenstein, Book 1)",A1GUWFBWRXTJG0,4.0
5674,"Prodigal Son (Dean Koontz's Frankenstein, Book 1)",A2M4R8R6SU049A,4.0
5677,"Prodigal Son (Dean Koontz's Frankenstein, Book 1)",A16QQ78I8J29PA,5.0
5679,"Prodigal Son (Dean Koontz's Frankenstein, Book 1)",A1M4NJYP0WNL8Q,5.0
5686,"Prodigal Son (Dean Koontz's Frankenstein, Book 1)",A2CZY3CEV23C62,3.0
5693,"Prodigal Son (Dean Koontz's Frankenstein, Book 1)",A2PN7Z2VTHICL8,4.0
5700,"Prodigal Son (Dean Koontz's Frankenstein, Book 1)",A16LP6AB6C5LMZ,4.0
5702,"Prodigal Son (Dean Koontz's Frankenstein, Book 1)",A3T0OTH5072YRE,4.0
5707,"Prodigal Son (Dean Koontz's Frankenstein, Book 1)",ABWF7YVZAU1QP,2.0
5708,"Prodigal Son (Dean Koontz's Frankenstein, Book 1)",A1FT7QFKNHL9DT,5.0
5723,"Prodigal Son (Dean Koontz's Frankenstein, Book 1)",AFCEAIV5KHMJ5,5.0
5731,"Prodigal Son (Dean Koontz's Frankenstein, Book 1)",A3LZGLA88K0LA0,5.0
5733,"Prodigal Son (Dean Koontz's Frankenstein, Book 1)",A3NUM3JIE6II0F,4.0
6852,The Dharma Bums,A2BTTP7LS8OI6X,5.0
6853,The Dharma Bums,A1PKJUAQFGNLSX,5.0
6868,The Dharma Bums,A2S166WSCFIFP5,5.0
6898,The Dharma Bums,A28WJUJF6D2ULA,2.0
6915,The Dharma Bums,A2VZ11U5DXM8J5,5.0
6918,The Dharma Bums,A21VR7M8O55EF6,5.0
6920,The Dharma Bums,A3I8FT707XKQAJ,3.0
6932,The Dharma Bums,AGKPTMTR3UX1R,5.0
6971,The Dharma Bums,AGEIT17HENDIS,3.0
6977,The Dharma Bums,AYABUEJC2SEHQ,5.0
6987,The Dharma Bums,A37XGUQ1VH0XM6,5.0
7008,The Dharma Bums,A22LX6529JJ166,4.0
7013,The Dharma Bums,A1OB5L3WMHJAD9,3.0
7018,The Dharma Bums,AUEY946M1L939,4.0
7038,The Dharma Bums,A2B9Y0WXNSN17U,4.0
9002,Romeo and Juliet,A1AAND6JLJGCV2,5.0
9007,Romeo and Juliet,A2IIDELWB0IWRO,5.0
9008,Romeo and Juliet,A1D2C0WDCSHUWZ,5.0
9022,Romeo and Juliet,AJAF1T6Q7XM94,3.0
9031,Romeo and Juliet,A3ICRSCWVEZPAK,4.0
9068,Romeo and Juliet,A3OJFPKMCXKOM0,5.0
9075,Romeo and Juliet,A3FHAMLNGHCFU7,3.0
9106,Romeo and Juliet,A2Q6R7WN1D2K27,4.0
9108,Romeo and Juliet,A3NUM3JIE6II0F,5.0
9121,Romeo and Juliet,A2AYSFGUP5VTY3,5.0
9171,Romeo and Juliet,A1N1YEMTI9DJ86,5.0
9176,Romeo and Juliet,A1TKYAYESYHIA2,5.0
9178,Romeo and Juliet,A2ZATPER188K3J,5.0
9196,Romeo and Juliet,A2HFQ405AKX4IW,4.0
9216,Romeo and Juliet,AAIL33CYCT47J,5.0
9217,Romeo and Juliet,A22DUZU3XVA8HA,5.0
9230,Romeo and Juliet,A3EOHYIHQM3KK,3.0
9634,Pushing Ice,A1I2O9Y3X3HXLS,4.0
9650,Pushing Ice,A55MRYPUAX4QU,5.0
9652,Pushing Ice,A14OJS0VWMOSWO,5.0
9673,Pushing Ice,AS6SH2JM2YY3H,4.0
9686,Pushing Ice,A1XJ64FBB2IRGT,4.0
9706,Pushing Ice,AHHUNTFQGUGX8,4.0
9708,Pushing Ice,A1X8VZWTOG8IS6,4.0
9710,Pushing Ice,A34HCSZJXZLPC,4.0
9711,Pushing Ice,A1M8PP7MLHNBQB,5.0
11182,Helter Skelter,A2EWCVGOTTPFAZ,5.0
11198,Helter Skelter,A1BSD8ZUZ28A9L,1.0
11203,Helter Skelter,A2O9HU1K7TCF7B,5.0
11211,Helter Skelter,A1S3C5OFU508P3,5.0
11242,Helter Skelter,A37WSPUFPY8LL9,5.0
11258,Helter Skelter,A3VWGPUMJMVD1I,4.0
11278,Helter Skelter,AA30KAI4RI6AT,3.0
11279,Helter Skelter,A303U1MOXG5R1F,4.0
11329,Helter Skelter,A9NFFAZF3LIB2,4.0
12484,Anno Dracula,A2S166WSCFIFP5,3.0
12491,Anno Dracula,A17IW44FV0HUTY,4.0
12493,Anno Dracula,A3VWGPUMJMVD1I,4.0
12503,Anno Dracula,A11ON2OFCF6RTV,2.0
12517,Anno Dracula,A3UPYGJKZ0XTU4,4.0
12521,Anno Dracula,A1YWUPCT83WY48,5.0
12522,Anno Dracula,A2PNTEDGMOLMOY,4.0
12526,Anno Dracula,AHHUNTFQGUGX8,4.0
12532,Anno Dracula,A1X8VZWTOG8IS6,5.0
12534,Anno Dracula,A3NIQK6ZLYEP1L,5.0
13246,The Clan of the Cave Bear,A1CHM200OEN65X,5.0
13255,The Clan of the Cave Bear,AG2IEP1MJQHFS,5.0
13257,The Clan of the Cave Bear,A232HUAELH5J6V,2.0
13279,The Clan of the Cave Bear,A27SC4VWIQVMCK,5.0
13282,The Clan of the Cave Bear,AQCQ5F0OJXMG9,5.0
13316,The Clan of the Cave Bear,A2ATWKOFJXRRR1,5.0
13352,The Clan of the Cave Bear,ARBMZ59SXGUGI,5.0
13355,The Clan of the Cave Bear,A3AZ4O4I9S4668,5.0
13366,The Clan of the Cave Bear,A1BI8PUEHA5CHW,5.0
13367,The Clan of the Cave Bear,AVHBK2SJ6CJ1C,5.0
13379,The Clan of the Cave Bear,A3PWF2AQ5XYALW,5.0
13399,The Clan of the Cave Bear,A1IOR3OTTUK3O5,4.0
13428,The Clan of the Cave Bear,A1Y87E22UVYCE6,5.0
13429,The Clan of the Cave Bear,A3OVBI2RNSUIJQ,4.0
13430,The Clan of the Cave Bear,AC6FEW34E5EQ9,4.0
13491,The Clan of the Cave Bear,A1AXHNRDJEQ0B,3.0
13547,The Clan of the Cave Bear,A1U6B2LDK3BUVU,4.0
13557,The Clan of the Cave Bear,A1N1YEMTI9DJ86,5.0
13573,The Clan of the Cave Bear,A11WQ2N0KPQLXB,5.0
13584,The Clan of the Cave Bear,AN8C7BGR98HLN,5.0
13604,The Clan of the Cave Bear,A43P0V05RM3SR,5.0
13644,The Clan of the Cave Bear,A370Z6I5GBWU44,5.0
13645,The Clan of the Cave Bear,A2V6FC7GVZ6T7M,5.0
13670,The Clan of the Cave Bear,A3BR4RIE8HDY1W,4.0
13681,The Clan of the Cave Bear,A2NBOL825B93OM,5.0
13692,The Clan of the Cave Bear,A1IIX764GG3WNZ,5.0
13739,The Clan of the Cave Bear,AZ8N5BS6476S8,5.0
13763,The Clan of the Cave Bear,A2EP0QO57Y9YW6,3.0
13775,The Clan of the Cave Bear,AA30KAI4RI6AT,5.0
13783,The Clan of the Cave Bear,A1X8VZWTOG8IS6,3.0
13792,The Clan of the Cave Bear,A3T0OTH5072YRE,5.0
13793,The Clan of the Cave Bear,ABMX8XUNPR3LP,5.0
13826,The Clan of the Cave Bear,A1G56KHOUOFWDW,5.0
13836,The Clan of the Cave Bear,A1JV4QKTEB7QBL,5.0
13837,The Clan of the Cave Bear,A395QKQZ15GP4F,5.0
16640,Exit to Eden,A2ODBHT4URXVXQ,4.0
16643,Exit to Eden,A55MRYPUAX4QU,5.0
16666,Exit to Eden,A1T17LMQABMBN5,4.0
16688,Exit to Eden,A11WQ2N0KPQLXB,2.0
16692,Exit to Eden,A2UMQT1HJTEQJF,5.0
16814,Fahrenheit 451,A20EEWWSFMZ1PN,5.0
16824,Fahrenheit 451,A1XTWXIMUCDGQE,5.0
16844,Fahrenheit 451,A32VWSQ0FPZKZ3,1.0
16881,Fahrenheit 451,A3OJFPKMCXKOM0,5.0
16883,Fahrenheit 451,A2E3GFHUDNPYDH,5.0
16895,Fahrenheit 451,AI37YX1U4KB1L,5.0
16903,Fahrenheit 451,A27ZH1AQORJ1L,5.0
16904,Fahrenheit 451,A2MTO8GC1UL8GD,4.0
16905,Fahrenheit 451,A3KF4IP2MUS8QQ,5.0
16906,Fahrenheit 451,A2NJO6YE954DBH,5.0
16907,Fahrenheit 451,A1PDIPZK2HIH5K,4.0
16914,Fahrenheit 451,A3C2A3D2KG1F1A,2.0
16915,Fahrenheit 451,A3FBU2QDUN0KFQ,5.0
16918,Fahrenheit 451,A2YJ9DT9YZ0DUN,5.0
16958,Fahrenheit 451,A3SO4SZPDNW0S3,5.0
16967,Fahrenheit 451,A2XQMGE2YY88DC,5.0
16970,Fahrenheit 451,A1E2NA2F4RTQ9B,5.0
16982,Fahrenheit 451,A3ICRSCWVEZPAK,5.0
17014,Fahrenheit 451,AV74NYPSKHXBU,4.0
17042,Fahrenheit 451,A2SDRCBPIAXVDW,4.0
17043,Fahrenheit 451,A1ZOF747O5EB6R,5.0
17047,Fahrenheit 451,AUTBHG6070SL4,5.0
17071,Fahrenheit 451,A3MV1KKHX51FYT,3.0
17113,Fahrenheit 451,A3DQWFWINN3V5A,3.0
17150,Fahrenheit 451,A3NIQK6ZLYEP1L,5.0
17164,Fahrenheit 451,AXQ8T2D9IT6UG,5.0
17165,Fahrenheit 451,A18C9SNLZWVBIE,5.0
17167,Fahrenheit 451,A3NJJZ5NB9LMR3,5.0
17168,Fahrenheit 451,A3F3B6HY9RJI04,5.0
17173,Fahrenheit 451,A3B086LGMBTXEI,2.0
17174,Fahrenheit 451,A3S1YIQQW7AZO,2.0
17183,Fahrenheit 451,A3IKBHODOTYYHM,5.0
17191,Fahrenheit 451,A1XNXHTPQRACRO,5.0
17193,Fahrenheit 451,AGCOCRW8A56U8,5.0
17199,Fahrenheit 451,A2EZ0OKB291N7,5.0
17204,Fahrenheit 451,A2IKY4WH4E11AI,4.0
17212,Fahrenheit 451,A1DYMH30TSRONY,5.0
17214,Fahrenheit 451,A26BWRBPP4V2WF,4.0
17217,Fahrenheit 451,A2BTTP7LS8OI6X,4.0
17251,Fahrenheit 451,AJ98YA4Y333BK,4.0
17261,Fahrenheit 451,A22DUZU3XVA8HA,5.0
17266,Fahrenheit 451,A1J0YNR1SSFCVS,4.0
17311,Fahrenheit 451,A30JPZ9TZ7I61U,5.0
17313,Fahrenheit 451,A1IPM23IJ8Q3L4,4.0
17318,Fahrenheit 451,A1NZH03BZTSPS2,4.0
17320,Fahrenheit 451,A1G0DH7UQ4ILS6,4.0
17330,Fahrenheit 451,A2O9HU1K7TCF7B,5.0
17340,Fahrenheit 451,AD0J5KK4WQXNS,5.0
17348,Fahrenheit 451,AXUF6DDUBZWX2,5.0
17359,Fahrenheit 451,A2SJ11EMIOBLHH,3.0
17364,Fahrenheit 451,A3R19YKNL641X3,4.0
17370,Fahrenheit 451,A1JTG5X4VHJV27,4.0
17374,Fahrenheit 451,A370T7ZOJJ76I2,3.0
17400,Fahrenheit 451,AL8IDHJPCE00K,3.0
17406,Fahrenheit 451,AELXFPTLB6P2L,5.0
17409,Fahrenheit 451,A29NUB3P6YIWZG,5.0
17428,Fahrenheit 451,A9NFFAZF3LIB2,3.0
17431,Fahrenheit 451,A2XZKGL6DJA03,2.0
17463,Fahrenheit 451,AGM1C9EF7FOZB,4.0
17468,Fahrenheit 451,AG9A3ZL7ODL6X,5.0
17479,Fahrenheit 451,A317CUPDD6NKJN,5.0
17488,Fahrenheit 451,A2S166WSCFIFP5,5.0
17493,Fahrenheit 451,A4SD8F79JBYG2,5.0
17545,Fahrenheit 451,A2T6RWGHT3DIDH,5.0
17547,Fahrenheit 451,AHHUNTFQGUGX8,3.0
17557,Fahrenheit 451,A633NIAR4JJAR,5.0
17593,Fahrenheit 451,A2NTJUI2DLZF4R,5.0
17603,Fahrenheit 451,A3C0380R9NMLHD,5.0
17617,Fahrenheit 451,A36K2N527TXXJN,4.0
17648,Fahrenheit 451,A2WB4OWBUH2VQX,4.0
17653,Fahrenheit 451,A2Z9B7F052F1KC,4.0
17657,Fahrenheit 451,A1ZDWD35AZL3S,5.0
17680,Fahrenheit 451,A1CHM200OEN65X,5.0
17683,Fahrenheit 451,AU6DIIDZK2OQM,3.0
17732,Fahrenheit 451,A30KEXFT9SILL6,4.0
17754,Fahrenheit 451,ABMX8XUNPR3LP,3.0
17761,Fahrenheit 451,AFCEAIV5KHMJ5,5.0
17770,Fahrenheit 451,A1VQBHHXIKHIGS,4.0
17796,Fahrenheit 451,A32ZKBXJJ45BRY,5.0
17797,Fahrenheit 451,A3QAZAWSD2A34U,4.0
17809,Fahrenheit 451,AFYYHRPSFBLWS,5.0
17810,Fahrenheit 451,A30R23VXTBBTLN,4.0
17816,Fahrenheit 451,A122H2TEE3VUKW,5.0
17825,Fahrenheit 451,A2CZY3CEV23C62,3.0
17853,Fahrenheit 451,AWLFVCT9128JV,5.0
17856,Fahrenheit 451,A5ZVJ9A6H1YL1,5.0
17857,Fahrenheit 451,A3QVAKVRAH657N,5.0
17867,Fahrenheit 451,A3O2RCKAMSE9X7,5.0
17903,Fahrenheit 451,AM66MDMCMTQZ3,2.0
17975,Fahrenheit 451,AT9YSY20RJUDX,4.0
17980,Fahrenheit 451,A2CR57GAJKNWVV,5.0
17985,Fahrenheit 451,A17FLA8HQOFVIG,5.0
17986,Fahrenheit 451,A1IU7S4HCK1XK0,5.0
17989,Fahrenheit 451,A3RINLIDX74QLP,4.0
17994,Fahrenheit 451,A11M98R135HMSY,5.0
17995,Fahrenheit 451,AJQ1S39GZBKUG,5.0
17999,Fahrenheit 451,A2B9Y0WXNSN17U,5.0
18001,Fahrenheit 451,A1R90KXMPXCAP,5.0
18007,Fahrenheit 451,A1EKTLUL24HDG8,5.0
18044,Fahrenheit 451,A38JN189EJK91M,5.0
18046,Fahrenheit 451,A2HR0DJG4WMR8R,5.0
18052,Fahrenheit 451,A2V3P1XE33NYC3,4.0
18053,Fahrenheit 451,A37XE43JR03AFN,5.0
18062,Fahrenheit 451,A356HRZZFCEGL1,4.0
18070,Fahrenheit 451,A370Z6I5GBWU44,4.0
18091,Fahrenheit 451,A2EENLV6OQ3DYM,4.0
18102,Fahrenheit 451,A2RPIGO3G4M6GN,2.0
18105,Fahrenheit 451,A3MBJ9TIYG91OL,5.0
18112,Fahrenheit 451,A16QQ78I8J29PA,5.0
18151,Fahrenheit 451,A5MY11QADILVA,5.0
18168,Fahrenheit 451,A1241U6QCSX5YJ,5.0
18224,Fahrenheit 451,A34U6WKGEO82P2,5.0
18229,Fahrenheit 451,A33L7G4E8CID3,3.0
18230,Fahrenheit 451,A2Y9E9JRISI0W8,3.0
18231,Fahrenheit 451,A2F3M93RRLFQNJ,5.0
18232,Fahrenheit 451,A96K1ZGW56S2I,4.0
18241,Fahrenheit 451,A1LVZOK9F7K4CN,4.0
18256,Fahrenheit 451,A1XJ64FBB2IRGT,4.0
18259,Fahrenheit 451,A12A08OL0TZY0W,5.0
18283,Fahrenheit 451,A1DYXCF4148PJT,4.0
18286,Fahrenheit 451,A3OH101U0CPUC7,3.0
18297,Fahrenheit 451,A222LQEPE7O7BV,4.0
18311,Fahrenheit 451,A3I4GZJZO155GG,4.0
18334,Fahrenheit 451,A2VP7JOT3K7PFM,5.0
18353,Fahrenheit 451,A7N5UKGJZB6RQ,5.0
18381,Fahrenheit 451,A3LWS1L674IYH7,5.0
18386,Fahrenheit 451,A29LGHDM4PTVOA,5.0
18390,Fahrenheit 451,A3R8PXSFGY9MC2,5.0
18399,Fahrenheit 451,A1S3C5OFU508P3,5.0
18405,Fahrenheit 451,A1X8VZWTOG8IS6,3.0
18411,Fahrenheit 451,A1LVMQ52YODRMO,2.0
18416,Fahrenheit 451,A3CI4SA5MCHOR,2.0
18439,Fahrenheit 451,AOHKH73SA3ZK7,5.0
18444,Fahrenheit 451,A1SCJWCMQ3W3KK,5.0
18697,Finnegans Wake,A3IJV6AMTGERQY,4.0
18703,Finnegans Wake,A2FTHCGH06O4Y5,1.0
18705,Finnegans Wake,AHD101501WCN1,5.0
18708,Finnegans Wake,AHXAPVSHPJ6OJ,5.0
18724,Finnegans Wake,AMVC9WTXYKNJ1,4.0
18729,Finnegans Wake,A11DCTGTPS7M0C,5.0
18761,Finnegans Wake,A1F0O78HKGBRKO,1.0
18803,Finnegans Wake,A3QVAKVRAH657N,1.0
18805,Finnegans Wake,A3J7QTHYIZ3XQT,5.0
18814,Finnegans Wake,A250BI36M1IR26,1.0
18827,Finnegans Wake,A30TK6U7DNS82R,5.0
18832,Finnegans Wake,A3RTMB76CJWY9U,1.0
18864,Finnegans Wake,A1U0WO33TVDE9K,5.0
18879,Finnegans Wake,A1XNXHTPQRACRO,1.0
19006,Spiritual Disciplines for the Christian Life (Pilgrimage Growth Guide),A25AMBAAZLNTQT,5.0
19008,Spiritual Disciplines for the Christian Life (Pilgrimage Growth Guide),A16IITISD2LAX0,4.0
19863,One Hundred Years of Solitude,A1T17LMQABMBN5,5.0
19865,One Hundred Years of Solitude,A4VH04TA14CPE,5.0
19866,One Hundred Years of Solitude,A2NHD7LUXVGTD3,2.0
19867,One Hundred Years of Solitude,A39650P2CZUUC9,2.0
19875,One Hundred Years of Solitude,A3D7L0R1281COX,5.0
19895,One Hundred Years of Solitude,A1A58DW45TQZMX,4.0
19916,One Hundred Years of Solitude,AYABUEJC2SEHQ,5.0
19920,One Hundred Years of Solitude,ARD5I31J12UU8,3.0
19927,One Hundred Years of Solitude,A2M1MNG7G40V85,3.0
19991,One Hundred Years of Solitude,A3684EUAEHIV67,5.0
19993,One Hundred Years of Solitude,A22DUZU3XVA8HA,5.0
20011,One Hundred Years of Solitude,A2H1W8V6R9TJ9E,5.0
20028,One Hundred Years of Solitude,A1ARA52HB238HT,5.0
20051,One Hundred Years of Solitude,A3UJ50L3ST5G95,5.0
20063,One Hundred Years of Solitude,A2I3D2NX4XKZYJ,5.0
20071,One Hundred Years of Solitude,A2ENIQZX6VJYUM,5.0
20076,One Hundred Years of Solitude,AHXAPVSHPJ6OJ,5.0
20083,One Hundred Years of Solitude,ASJ89T42CIUHU,3.0
20092,One Hundred Years of Solitude,A21CP0XTTBJJ4W,5.0
20108,One Hundred Years of Solitude,ASJWCXE10I8AZ,5.0
20110,One Hundred Years of Solitude,A27ZH1AQORJ1L,5.0
20113,One Hundred Years of Solitude,A34U6WKGEO82P2,5.0
20115,One Hundred Years of Solitude,A16QODENBJVUI1,5.0
20116,One Hundred Years of Solitude,A3QW09WANRS6BZ,3.0
20139,One Hundred Years of Solitude,A2BS90J8VELL7D,4.0
20142,One Hundred Years of Solitude,A7SSCDSCM4PXF,4.0
20144,One Hundred Years of Solitude,A3R8PXSFGY9MC2,4.0
20156,One Hundred Years of Solitude,A2YXRT2XIJIO57,5.0
20168,One Hundred Years of Solitude,A3075RVSKC27HU,5.0
20169,One Hundred Years of Solitude,A2BTTP7LS8OI6X,5.0
20174,One Hundred Years of Solitude,A1RECBDKHVOJMW,5.0
20231,One Hundred Years of Solitude,A29NUB3P6YIWZG,5.0
20234,One Hundred Years of Solitude,A1GUWFBWRXTJG0,5.0
20247,One Hundred Years of Solitude,A27QB2QCDK90GP,4.0
20254,One Hundred Years of Solitude,AE31M52VLKOG6,4.0
20316,One Hundred Years of Solitude,A18VICK1AMJS6B,5.0
20325,One Hundred Years of Solitude,A3MBJ9TIYG91OL,4.0
20343,One Hundred Years of Solitude,AQYM7Q42F4C87,5.0
20347,One Hundred Years of Solitude,A5HVPX1ETWWIV,5.0
20356,One Hundred Years of Solitude,A2WSI8HOWHFDOT,5.0
20368,One Hundred Years of Solitude,AY46DEOJJYFTW,5.0
20407,One Hundred Years of Solitude,AEJ31WGHJ59C,5.0
20416,One Hundred Years of Solitude,A280GY5UVUS2QH,5.0
20421,One Hundred Years of Solitude,A17FLA8HQOFVIG,5.0
20431,One Hundred Years of Solitude,AM66MDMCMTQZ3,5.0
